set_up,method,n_train,estimated_beta,file_name,running_time_train,running_time_pred,running_datetime,running_time_predict
MAR_5d_050corr_rep1_n115000_d5_corrMIXTURE_NA25,py.SAEM.fast,10000,"[[3.4576317350776393, -2.667920644220285, -0.7635267109353118, 0.4217425361730293, -0.5911387295931139], [0.0276390214544892]]",MAR_5d_050corr_rep1_n115000_d5_corrMIXTURE_NA25_py.SAEM.fast_10000,204.6465368270874,,,0.8662958145141602
MAR_5d_050corr_rep1_n115000_d5_corrMIXTURE_NA25,py.SAEM.parallel,10000,"[[3.4468015016459694, -2.56822403828727, -0.8441065439505737, 0.6333435086243377, -0.6797696745238879], [0.03881670213991184]]",MAR_5d_050corr_rep1_n115000_d5_corrMIXTURE_NA25_py.SAEM.parallel_10000,1.891223430633545,,,0.8685986995697021
MAR_5d_050corr_rep2_n115000_d5_corrMIXTURE_NA25,py.SAEM,100,"[[0.16709023410582957, 0.8776988549240878, 0.9202089932629698, 1.527186143766707, 0.787913708336182], [0.2617741640088229]]",MAR_5d_050corr_rep2_n115000_d5_corrMIXTURE_NA25_py.SAEM_100,10.745265007019043,,,0.8811581134796143
MAR_5d_050corr_rep2_n115000_d5_corrMIXTURE_NA25,py.SAEM.fast,100,"[[0.18985864278133494, 1.0161633163723953, 0.8755003455307138, 1.397234822019235, 1.2747479810449363], [0.17251066388182223]]",MAR_5d_050corr_rep2_n115000_d5_corrMIXTURE_NA25_py.SAEM.fast_100,6.820497274398804,,,0.8630228042602539
MAR_5d_050corr_rep2_n115000_d5_corrMIXTURE_NA25,py.SAEM.parallel,100,"[[0.1579882031943158, 0.8796294806286936, 0.9171678560232721, 1.5494566541813994, 0.7422687513810006], [0.2512011462568401]]",MAR_5d_050corr_rep2_n115000_d5_corrMIXTURE_NA25_py.SAEM.parallel_100,2.385157585144043,,,0.8631594181060791
MAR_5d_050corr_rep2_n115000_d5_corrMIXTURE_NA25,py.SAEM,500,"[[0.07808722702813158, 0.7276387570791162, 0.49030107000519363, 1.6614219676990478, 0.7772322930141679], [-0.03196749602154705]]",MAR_5d_050corr_rep2_n115000_d5_corrMIXTURE_NA25_py.SAEM_500,12.159723997116089,,,0.8619732856750488
MAR_5d_050corr_rep2_n115000_d5_corrMIXTURE_NA25,py.SAEM.fast,500,"[[0.05344575059201331, 0.7323987393156298, 0.4533971095122101, 1.6823333819819417, 0.8687560073692174], [-0.07826500479308604]]",MAR_5d_050corr_rep2_n115000_d5_corrMIXTURE_NA25_py.SAEM.fast_500,22.203779220581055,,,0.8632297515869141
MAR_5d_050corr_rep2_n115000_d5_corrMIXTURE_NA25,py.SAEM.parallel,500,"[[0.07519870000489469, 0.72201605394817, 0.40869426072277115, 1.7302485981955849, 0.7342456660142399], [-0.03436084915161274]]",MAR_5d_050corr_rep2_n115000_d5_corrMIXTURE_NA25_py.SAEM.parallel_500,1.2520592212677002,,,0.8599464893341064
MAR_5d_050corr_rep2_n115000_d5_corrMIXTURE_NA25,py.SAEM,1000,"[[0.20122877459479477, 0.6197015404928773, 0.43267853330772177, 2.0462909915783896, 0.7316030980999007], [-0.10434740059619743]]",MAR_5d_050corr_rep2_n115000_d5_corrMIXTURE_NA25_py.SAEM_1000,35.12857174873352,,,0.8639276027679443
MAR_5d_050corr_rep2_n115000_d5_corrMIXTURE_NA25,py.SAEM.fast,1000,"[[0.20660467543946315, 0.683012017661348, 0.4472469665443816, 2.0592266890121387, 0.8237449877125202], [-0.12498902259396062]]",MAR_5d_050corr_rep2_n115000_d5_corrMIXTURE_NA25_py.SAEM.fast_1000,40.639548778533936,,,0.8580653667449951
