set_up,method,n_train,estimated_beta,file_name,running_time_train,running_time_pred,running_datetime,running_time_predict
MCAR_5d_095corr_rep3_n115000_d5_corr95_NA25,SAEM,5000,"[[-0.317787005932464, -0.303941066555945, -1.34076229479183, 0.0349835004086758, -0.826471995166346], [-0.0461965013858548]]",MCAR_5d_095corr_rep3_n115000_d5_corr95_NA25_SAEM_5000,70.1680498123169,6.00468444824219,2025-07-15 17:59:25.670994,
MCAR_5d_095corr_rep4_n115000_d5_corr95_NA25,SAEM,5000,"[[-0.102774811705561, 1.97681817310457, 0.525182436406847, 0.318628250808515, 0.984280911491094], [0.0106432453510324]]",MCAR_5d_095corr_rep4_n115000_d5_corr95_NA25_SAEM_5000,63.0283052921295,6.29312467575073,2025-07-15 17:59:32.92209,
MCAR_5d_095corr_rep0_n115000_d5_corr95_NA25,SAEM,10000,"[[1.72881172002222, -0.848198078659552, -0.431312422695909, -1.00566830356271, 0.866276739319926], [-0.00371616965935328]]",MCAR_5d_095corr_rep0_n115000_d5_corr95_NA25_SAEM_10000,78.0877804756165,5.63023805618286,2025-07-15 17:59:39.841992,
MCAR_5d_095corr_rep1_n115000_d5_corr95_NA25,SAEM,10000,"[[1.07289856500784, 0.849053003751001, 0.25221468131603, -0.994145763932556, 0.685930875103712], [0.0251752893906249]]",MCAR_5d_095corr_rep1_n115000_d5_corr95_NA25_SAEM_10000,85.0825247764587,5.72036695480347,2025-07-15 17:59:46.573009,
MCAR_5d_095corr_rep2_n115000_d5_corr95_NA25,SAEM,10000,"[[-0.747930742601553, -2.36095449008834, -0.28504829045971, 0.133624034003764, 0.0855573990706087], [-0.0510208139959967]]",MCAR_5d_095corr_rep2_n115000_d5_corr95_NA25_SAEM_10000,108.642327308655,5.8813648223877,2025-07-15 17:59:53.466175,
MCAR_5d_095corr_rep3_n115000_d5_corr95_NA25,SAEM,10000,"[[-0.144556883758126, -0.479356356669728, -1.29287429198687, -0.0741759780944114, -0.787967643893958], [-0.0327205488760404]]",MCAR_5d_095corr_rep3_n115000_d5_corr95_NA25_SAEM_10000,98.3617479801178,5.71704077720642,2025-07-15 18:00:00.173981,
MCAR_5d_095corr_rep4_n115000_d5_corr95_NA25,SAEM,10000,"[[-0.0955249851868381, 2.11983495290507, 0.557566571934296, 0.170111651791038, 1.04361474212411], [0.00177900471229866]]",MCAR_5d_095corr_rep4_n115000_d5_corr95_NA25_SAEM_10000,127.013118267059,5.61356711387634,2025-07-15 18:00:07.328453,
MCAR_5d_095corr_rep0_n115000_d5_corr95_NA25,py.SAEM,100,"[[1.2076636409567958, -0.17832787235861747, -0.6784268469733717, -0.04781721271634767, 0.05742193772963772], [0.0956155028318376]]",MCAR_5d_095corr_rep0_n115000_d5_corr95_NA25_py.SAEM_100,12.64350414276123,,,145.51230192184448
MCAR_5d_095corr_rep0_n115000_d5_corr95_NA25,py.SAEM.fast,100,"[[0.9191758982088388, -0.2563438058803262, -0.35878005974009486, 0.11371702099491228, -0.020883833730470903], [0.07310006571274656]]",MCAR_5d_095corr_rep0_n115000_d5_corr95_NA25_py.SAEM.fast_100,9.81359314918518,,,144.33935856819153
MCAR_5d_095corr_rep0_n115000_d5_corr95_NA25,py.SAEM.parallel,100,"[[1.2309750795284469, -0.1766300411736874, -0.7088651236977331, -0.06378532018857, 0.07750504926785085], [0.09065471553175414]]",MCAR_5d_095corr_rep0_n115000_d5_corr95_NA25_py.SAEM.parallel_100,4.339044094085693,,,144.22522377967834
