set_up,method,n_train,estimated_beta,file_name,running_time_train,running_time_pred,running_datetime,running_time_predict
MCAR_20d_05corr_rep3_n115000_d20_corr50_NA25,SAEM,500,"[[0.230502310862267, 0.679644488377969, 1.04298816754411, 0.858073924211929, -0.266555707083844, 0.666506717782182, -0.319103262505827, 1.51247608443606, -1.73702560032774, 0.447960533363072, 0.719293545019418, -0.83456989003409, 0.970600648594931, -0.656823577651218, -1.13963791899988, 0.760713372971193, 0.742979162279824, 1.59172475374337, -0.453734823818488, -0.742657188257356], [-0.18016369774726]]",MCAR_20d_05corr_rep3_n115000_d20_corr50_NA25_SAEM_500,47.8571255207062,20.0603380203247,2025-07-15 17:57:21.699454,
MCAR_20d_05corr_rep4_n115000_d20_corr50_NA25,SAEM,500,"[[2.22051699856575, 0.699838269671344, 4.27392381196743, -1.57512190211916, -1.17184563827162, 1.0795939433853, -2.41252165023319, -0.564290941232068, -2.25871526266832, -3.77936713261553, 2.36404972681193, -0.0716783361425928, -2.26188298222806, 1.22594022061483, -0.7849755864814, 5.93464484227759, -2.86692765304868, 5.50775638664016, -2.15886497995741, 1.05573624428253], [-0.855062542311765]]",MCAR_20d_05corr_rep4_n115000_d20_corr50_NA25_SAEM_500,49.7642462253571,20.2414450645447,2025-07-15 17:57:24.827152,
MCAR_20d_05corr_rep0_n115000_d20_corr50_NA25,SAEM,1000,"[[1.93209820973904, -0.723930903429489, -0.332625050956449, -1.84154600241786, 1.7007652690415, -3.29151027100681, 2.43566826559996, -1.24840307832846, 0.745881407322843, -0.20428813785432, 1.78784504684169, -2.64463280791129, -0.689163101978419, -0.779295067138699, 1.72735056322242, -1.89641939127318, -0.129077020606878, -1.07299075256222, -0.035719884785181, 0.99574730186537], [-0.0497630720310043]]",MCAR_20d_05corr_rep0_n115000_d20_corr50_NA25_SAEM_1000,92.5619695186615,20.0652778148651,2025-07-15 17:57:27.524602,
MCAR_20d_05corr_rep1_n115000_d20_corr50_NA25,SAEM,1000,"[[0.236717137326641, 0.937378432891195, -3.13003457160896, -3.36917817457719, 1.03710725363594, -1.4987237125415, -2.98169978968547, 1.48616934829995, 0.193113238513477, 3.09613195397762, -1.16216269186027, 1.42564639258379, 2.49688801175218, -0.532684999784364, 0.0339311394209082, -1.48139049399722, 1.29585890384563, -0.869284239688093, -1.5187624866414, -0.884521010533956], [0.356668233568791]]",MCAR_20d_05corr_rep1_n115000_d20_corr50_NA25_SAEM_1000,93.76997423172,19.6885707378387,2025-07-15 17:57:29.756229,
MCAR_20d_05corr_rep2_n115000_d20_corr50_NA25,SAEM,1000,"[[-2.02378780869561, -5.38448779792721, 5.78769173191491, 2.13239781373404, -2.49126879465443, -3.91644110281109, 1.43166818564813, -1.17245814380705, -2.77163976197949, -2.78669463772829, 2.07475925432872, -0.850548754433959, 1.90658283281438, 0.892289699338465, -4.12187007515025, -1.69452325340727, 7.30879634251116, -3.08210052343941, 10.7883297982797, 4.10076980286758], [0.782961448239643]]",MCAR_20d_05corr_rep2_n115000_d20_corr50_NA25_SAEM_1000,91.9028789997101,19.1704258918762,2025-07-15 17:59:23.462297,
MCAR_20d_05corr_rep3_n115000_d20_corr50_NA25,SAEM,1000,"[[0.215007427435359, 0.58319048712226, 1.07033153355136, 1.07827686345632, -0.47855025883176, 0.932686960751281, -0.514096489429425, 1.52164644650191, -1.62779225571505, 0.609682132924919, 0.427832222353379, -0.60788201896936, 0.951473354930518, -1.0064732758754, -0.687300983005161, 0.473372962352501, 0.711499493242812, 1.81900662690221, -0.63540820707775, -0.528665303177141], [-0.00798543869830221]]",MCAR_20d_05corr_rep3_n115000_d20_corr50_NA25_SAEM_1000,93.4088308811188,19.5987179279327,2025-07-15 17:57:32.661187,
MCAR_20d_05corr_rep4_n115000_d20_corr50_NA25,SAEM,1000,"[[0.62164861508143, 0.422233043007782, 1.46896493545655, -0.406782077591223, -0.270226445150337, 0.1498966003156, -0.981270576488184, -0.305388596777987, -0.726165766474972, -1.4980289207478, 0.404715647284944, 0.368223305892542, -0.840844533842373, 0.40263080173982, -0.0529618124306392, 1.92567922767755, -0.526510659616038, 1.78944876117326, -0.0959134551729316, 0.213286709937557], [-0.134851387877423]]",MCAR_20d_05corr_rep4_n115000_d20_corr50_NA25_SAEM_1000,94.798436164856,19.6486735343933,2025-07-15 17:57:35.924094,
MCAR_20d_05corr_rep0_n115000_d20_corr50_NA25,SAEM,5000,"[[1.52911779735765, -0.561221814537091, -0.43102449856242, -1.18611316949189, 1.07255275605705, -2.53504835016825, 1.87905824196222, -0.854372974155401, 0.422673866519193, -0.162649150315245, 1.45538284579808, -2.08486565126774, -0.354820181508281, -0.406172246850563, 1.06790648488087, -1.0914747711924, -0.117430744654015, -1.01748748220703, 0.190356038016596, 0.56498026008212], [-0.0446688245872913]]",MCAR_20d_05corr_rep0_n115000_d20_corr50_NA25_SAEM_5000,419.601023435593,18.8198251724243,2025-07-15 17:57:38.614619,
MCAR_20d_05corr_rep1_n115000_d20_corr50_NA25,SAEM,5000,"[[0.0913887491609593, 0.593327493293809, -1.55889016083251, -1.95260154815433, 0.462637754077714, -0.606070795417519, -1.60094498721141, 0.929019723089877, 0.25680553041919, 1.40568464642205, -0.684103784225366, 1.07076588435049, 1.2456677401983, -0.14951334063741, 0.0384102515670331, -0.521909153675609, 0.347664346495401, -0.127472916375001, -0.963371654016166, -0.424247618327081], [0.0638829619282791]]",MCAR_20d_05corr_rep1_n115000_d20_corr50_NA25_SAEM_5000,444.900911808014,18.2669472694397,2025-07-15 17:57:41.417052,
MCAR_20d_05corr_rep2_n115000_d20_corr50_NA25,SAEM,5000,"[[-0.798850599781175, -1.21984945908018, 1.42577057040008, 0.240513730298897, -0.784151124405845, -0.724826316045942, 0.263435742446211, -0.22383315271791, -0.888911012544597, -0.550086031169964, 0.412481562216967, -0.0283136184590723, 0.261364870564136, 0.502043693316072, -1.4584930591074, -0.588399951368912, 2.09200783015764, -0.899022561870389, 2.96664013613219, 1.31123516607533], [0.0349404884078131]]",MCAR_20d_05corr_rep2_n115000_d20_corr50_NA25_SAEM_5000,407.735472202301,19.0372633934021,2025-07-15 17:57:44.823779,
