set_up,method,n_train,estimated_beta,file_name,running_time_train,running_time_pred,running_datetime,running_time_predict
MCAR_5d_0corr_rep0_n115000_d5_corr0_NA25,SAEM,100,"[[2.1182141797514, -0.29500947157048, -0.266507463570329, -1.14797111094874, 1.24073701251631], [0.0842054348703646]]",MCAR_5d_0corr_rep0_n115000_d5_corr0_NA25_SAEM_100,6.50767135620117,12.5694682598114,2025-07-15 17:56:41.816179,
MCAR_5d_0corr_rep1_n115000_d5_corr0_NA25,SAEM,100,"[[1.91473944229521, 0.963498876220137, 0.956799999823665, -1.49283282419793, 1.34787809288559], [-0.603229164761641]]",MCAR_5d_0corr_rep1_n115000_d5_corr0_NA25_SAEM_100,6.78177165985107,12.2822980880737,2025-07-15 17:57:01.050414,
MCAR_5d_0corr_rep2_n115000_d5_corr0_NA25,SAEM,100,"[[-0.808656192471232, -2.00293468557642, -0.0609536657751663, -0.762094631145885, 0.219470567508856], [-0.0175395635068473]]",MCAR_5d_0corr_rep2_n115000_d5_corr0_NA25_SAEM_100,6.9675977230072,12.5975294113159,2025-07-15 17:56:43.770458,
MCAR_5d_0corr_rep3_n115000_d5_corr0_NA25,SAEM,100,"[[0.624047767956606, -0.141500877011691, -1.8754743278105, -0.0922003291920366, -1.19090961066678], [-0.43489751223835]]",MCAR_5d_0corr_rep3_n115000_d5_corr0_NA25_SAEM_100,7.41762542724609,12.6770448684692,2025-07-15 17:56:46.358326,
MCAR_5d_0corr_rep4_n115000_d5_corr0_NA25,SAEM,100,"[[-2.58304203513808, 5.16264955745257, 1.05685491619599, 0.120837527174771, 1.25140144827035], [0.587376286465973]]",MCAR_5d_0corr_rep4_n115000_d5_corr0_NA25_SAEM_100,7.26203751564026,11.8782110214233,2025-07-15 17:56:48.833123,
MCAR_5d_0corr_rep0_n115000_d5_corr0_NA25,SAEM,500,"[[1.95637765003016, -0.639924530087506, -0.435658739031427, -1.02852687342198, 1.05483787509662], [-0.116323678589303]]",MCAR_5d_0corr_rep0_n115000_d5_corr0_NA25_SAEM_500,19.6540956497192,12.3570072650909,2025-07-15 17:56:51.140346,
MCAR_5d_0corr_rep1_n115000_d5_corr0_NA25,SAEM,500,"[[0.917517268965139, 0.597545281759776, 0.189220281107434, -0.860871623119253, 0.417937131327699], [-0.0362435778311812]]",MCAR_5d_0corr_rep1_n115000_d5_corr0_NA25_SAEM_500,19.0494751930237,12.6859991550446,2025-07-15 17:56:54.498976,
MCAR_5d_0corr_rep2_n115000_d5_corr0_NA25,SAEM,500,"[[-0.783959116139942, -2.47739700440311, 0.0733510104396049, -0.233518255831762, 0.128712514873224], [-0.13255680111137]]",MCAR_5d_0corr_rep2_n115000_d5_corr0_NA25_SAEM_500,20.0356669425964,12.1651465892792,2025-07-15 17:57:26.377468,
MCAR_5d_0corr_rep3_n115000_d5_corr0_NA25,SAEM,500,"[[-0.00252800927516333, -0.610126147790138, -1.11372434232698, -0.549239464133998, -0.755085689212927], [0.0550303407854086]]",MCAR_5d_0corr_rep3_n115000_d5_corr0_NA25_SAEM_500,15.5306556224823,12.5838685035706,2025-07-15 17:56:56.845127,
MCAR_5d_0corr_rep4_n115000_d5_corr0_NA25,SAEM,500,"[[-0.170324709462, 2.66006679002351, 0.421180721063268, 0.133891150009022, 0.87015799481454], [0.0330940691700112]]",MCAR_5d_0corr_rep4_n115000_d5_corr0_NA25_SAEM_500,23.8618793487549,12.4693179130554,2025-07-15 17:56:59.922093,
MCAR_5d_0corr_rep0_n115000_d5_corr0_NA25,SAEM,1000,"[[1.53924834367102, -0.527625980836269, -0.462853084571081, -0.992311284381947, 0.766323260870242], [-0.12067518815064]]",MCAR_5d_0corr_rep0_n115000_d5_corr0_NA25_SAEM_1000,36.3527007102966,13.0173318386078,2025-07-15 17:57:03.124142,
MCAR_5d_0corr_rep1_n115000_d5_corr0_NA25,SAEM,1000,"[[0.811378668004937, 0.581216481330879, 0.237777232746164, -0.765145451082938, 0.592110965152413], [-0.0607143999602611]]",MCAR_5d_0corr_rep1_n115000_d5_corr0_NA25_SAEM_1000,30.592072725296,12.3984911441803,2025-07-15 17:57:05.680532,
MCAR_5d_0corr_rep2_n115000_d5_corr0_NA25,SAEM,1000,"[[-0.844055827183246, -2.52861800370588, 0.048901266955878, -0.0055851561994421, 0.334092259712272], [-0.0565702299312872]]",MCAR_5d_0corr_rep2_n115000_d5_corr0_NA25_SAEM_1000,28.5322315692902,12.0007350444794,2025-07-15 17:57:48.750262,
